Rk,Player,Age,Team,Pos,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,OWS,DWS,WS,WS/48,BPM,VORP,PER,Salary
332,Khris Middleton,31,MIL,SF,33,24.3,4.2,4.9,0.7,0.2,2.2,2.1,15.1,113,113,1,1,1.9,0.117,0.8,0.6,17.4,37984276
204,Killian Hayes,21,DET,PG,76,28.3,2.9,6.2,1.4,0.4,2.3,2.9,10.3,98,118,-1.9,1.4,-0.5,-0.012,-3.8,-1,10.2,5837760
291,Kira Lewis Jr.,21,NOP,PG,25,9.4,1.3,0.9,0.4,0.1,0.4,1,4.6,118,113,0.3,0.3,0.6,0.122,-0.3,0.1,14.5,4004280
311,KJ Martin,22,HOU,SF,82,28,5.5,1.5,0.5,0.4,1.1,1.8,12.7,126,121,4.2,0.7,4.9,0.103,-0.7,0.7,15.4,1782621
471,Klay Thompson,32,GSW,SF,69,33,4.1,2.4,0.7,0.4,1.8,1.9,21.9,110,117,1.2,1.9,3.1,0.066,-0.3,1,14.7,40600080
445,Kobi Simmons,25,CHO,SG,5,5.6,0.8,1,0,0.4,0.2,0,1,101,117,0,0,0,0.019,-0.9,0,9,32795
136,Kris Dunn,28,UTA,PG,22,25.8,4.5,5.6,1.1,0.5,1.6,2.6,13.2,125,114,1.3,0.6,1.9,0.162,2.4,0.6,19.1,1000001
393,Kristaps Porzi??is,27,WAS,C,65,32.6,8.4,2.7,0.9,1.5,2.1,3,23.2,121,113,5,2.7,7.7,0.174,4.3,3.4,23.1,33833400
10,Kyle Anderson,29,MIN,PF,69,28.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4,120,112,2.5,2.6,5.1,0.125,2.5,2.2,14.8,8780488
278,Kyle Kuzma,27,WAS,PF,64,35,7.2,3.7,0.6,0.5,3,2.3,21.2,103,117,-1,1.9,0.9,0.019,-1.7,0.2,14.3,13000000
300,Kyle Lowry,36,MIA,PG,55,31.2,4.1,5.1,1,0.4,1.9,2.6,11.2,114,114,1.5,1.9,3.4,0.096,0.2,0.9,12.6,28333334
230,Kyrie Irving,30,2TM,SG,60,37.4,5.1,5.5,1.1,0.8,2.1,2.8,27.1,121,116,5.4,2,7.4,0.159,4.1,3.5,22.4,38917057
374,KZ Okpala,23,SAC,PF,35,7.1,1,0.4,0.2,0.2,0.2,1.1,1.3,113,117,0.1,0.2,0.3,0.057,-3.2,-0.1,6.2,1902133
458,Lamar Stevens,25,CLE,SF,62,18.1,3.3,0.5,0.4,0.3,0.4,1.3,5.3,109,111,0.3,1.6,1.9,0.08,-2.8,-0.2,9.5,1782621
21,LaMelo Ball,21,CHO,PG,36,35.2,6.4,8.4,1.3,0.3,3.6,3.3,23.3,108,115,0.6,1.2,1.8,0.068,2.4,1.4,17.9,8623920
439,Landry Shamet,25,PHO,SG,40,20.2,1.7,2.3,0.7,0.1,0.9,1.5,8.7,111,116,0.5,0.7,1.2,0.071,-1.4,0.1,10.9,9500000
356,Larry Nance Jr.,30,NOP,C,65,21.2,5.4,1.8,0.9,0.6,0.6,2,6.8,134,110,2.8,2.1,4.9,0.171,2,1.4,16,9672727
307,Lauri Markkanen,25,UTA,PF,66,34.4,8.6,1.9,0.6,0.6,1.9,2.1,25.6,125,116,6.3,1.9,8.2,0.173,3.8,3.3,22.1,16475454
48,Leandro Bolmaro,22,UTA,SF,14,4.9,0.5,0.5,0.2,0.1,0.5,0.7,0.4,50,118,-0.4,0,-0.3,-0.231,-14.7,-0.2,-5,1709300
239,LeBron James,38,LAL,PF,55,35.5,8.3,6.8,0.9,0.6,3.2,1.6,28.9,114,113,3.2,2.4,5.6,0.138,6.1,4,23.9,44474988
404,Lester Quiñones,22,GSW,SG,4,4.5,0.8,0.5,0.3,0,1.3,0,2.5,87,114,-0.1,0,0,-0.103,-10.2,0,8.6,129405
514,Lindell Wigginton,24,MIL,PG,7,12.4,1,2,0,0.3,1.7,1,7.1,104,117,0,0.1,0.1,0.028,-6.7,-0.1,11.8,99438
503,Lindy Waters III,25,OKC,SG,41,13,1.8,0.7,0.3,0.3,0.2,1,5.2,120,116,0.6,0.5,1.1,0.101,0.1,0.3,11.8,2316876
496,Lonnie Walker IV,24,LAL,SG,56,23.2,1.9,1.1,0.5,0.3,0.8,1.3,11.7,111,117,0.8,1,1.8,0.066,-1.4,0.2,12.2,6479000
267,Louis King,23,PHI,PF,1,29,4,2,1,0,2,4,20,125,116,0.1,0,0.1,0.157,2.3,0,21.3,307089
127,Luguentz Dort,23,OKC,SF,74,30.7,4.6,2.1,1,0.3,1.2,3.3,13.7,109,116,0.9,2.1,2.9,0.062,-3,-0.6,11.3,15277778
125,Luka Don?i?,23,DAL,PG,66,36.2,8.6,8,1.4,0.5,3.6,2.5,32.4,120,113,7.3,2.9,10.2,0.204,8.9,6.6,28.7,37096500
159,Luka Garza,24,MIN,C,28,8.7,2.3,0.6,0.1,0.1,0.5,1.5,6.5,130,117,0.9,0.2,1.1,0.211,-0.4,0.1,23,508891
429,Luka Šamani?,23,UTA,PF,7,23,4.3,2.1,0.9,0.3,1.4,2.4,9.9,105,115,0,0.2,0.2,0.045,-2.1,0,11,538317
264,Luke Kennard,26,2TM,SG,59,22.3,2.7,1.5,0.5,0.1,0.8,1.4,9.3,128,116,2.2,1.2,3.4,0.124,0.5,0.8,13,13745455
275,Luke Kornet,27,BOS,C,69,11.7,2.9,0.8,0.2,0.7,0.4,1.2,3.8,143,111,2.1,1.2,3.3,0.198,1,0.6,16.7,2133278
319,Mac McClung,24,PHI,SG,2,20.5,5,4.5,0,0,1.5,1.5,12.5,119,117,0.1,0,0.1,0.14,0.5,0,19.2,160856
147,Malachi Flynn,24,TOR,PG,53,13,1.4,1.3,0.4,0.1,0.5,1.2,4.6,105,117,0,0.5,0.5,0.034,-4.1,-0.4,8.7,2145720
